Q1_Vehicle_Year,Q2_Vehicle_Brand,Q3_Aesthetic_Style,Q4_Friction_Wobble,Q4_Friction_Aesthetic,Q4_Friction_Block,Q4_Friction_Degradation,Q5_Rattle_Severity_Scale,Q6_Module_MagSafe,Q6_Module_BeverageLock,Q6_Module_BagHook,Q6_Module_Telemetry,Q6_Module_Tray,Q7_Primary_Concern,Q8_Price_Too_Cheap,Q9_Price_Bargain,Q10_Price_Expensive,Q11_Price_Too_Expensive,Q12_Reserve_Slot_Intent,Q13_Vehicle_Text,Segment
2022,Porsche,The Enthusiast/Builder,1,0,0,0,3,1,0,1,0,0,The Rigidity,104,124,349,534,1,Porsche Cayman 718 GT4,Elite_Enthusiast
2019,Toyota,The Functionalist,0,0,0,0,1,1,1,0,0,1,The Footprint,29,39,99,148,0,Toyota Innova Crysta,Practical_Upgrader
2022,Honda,The Functionalist,1,1,1,0,5,1,1,1,0,1,The Dash Fit,23,39,96,138,1,Honda CR-V Sport,Practical_Upgrader
2019,BMW,The Functionalist,0,0,1,1,3,0,1,1,0,1,The Footprint,47,106,136,256,0,BMW M4 CSL,Family_WorkMom
2026,Mercedes-Benz,The Purist,1,0,1,1,2,1,0,1,1,0,The Footprint,78,120,148,316,0,Mercedes AMG C63,Tech_Purist
2019,Maruti Suzuki,The Functionalist,1,1,1,1,2,0,0,1,0,1,The Rigidity,24,65,109,129,0,Maruti Swift ZXI,Practical_Upgrader
2021,Audi,The Purist,1,1,0,0,5,1,1,0,1,0,The Dash Fit,83,103,380,405,1,Audi RS6 Avant,Tech_Purist
2021,Mercedes-Benz,The Purist,1,0,1,1,4,0,1,1,0,0,The Dash Fit,35,73,226,260,0,Mercedes AMG C63,Family_WorkMom
2024,Audi,The Purist,1,1,0,1,4,0,0,0,1,1,The Dash Fit,87,266,296,453,1,Audi RS6 Avant,Elite_Enthusiast
2020,Porsche,The Enthusiast/Builder,0,1,1,1,5,0,0,0,1,1,The Rigidity,137,177,207,518,1,Porsche 911 Carrera S,Elite_Enthusiast
2019,Volkswagen,The Enthusiast/Builder,0,1,1,1,3,1,1,1,0,1,The Dash Fit,23,92,107,300,0,VW Taigun GT Plus,Practical_Upgrader
2017,Hyundai,The Enthusiast/Builder,1,1,1,1,3,1,1,1,1,1,The Rigidity,51,61,100,186,0,Hyundai Verna,Practical_Upgrader
2024,BMW,The Purist,1,0,1,0,3,1,1,0,1,1,The Interaction,84,153,356,381,1,BMW 5 Series xDrive,Tech_Purist
2018,Tesla,The Functionalist,1,1,0,0,3,0,0,1,0,1,The Dash Fit,48,97,270,339,1,Tesla Model 3 Long Range,Family_WorkMom
2025,Land Rover,The Functionalist,0,0,1,1,3,1,0,1,0,0,The Dash Fit,60,145,165,333,0,Land Rover Defender 110,Family_WorkMom
2026,BMW,The Functionalist,0,1,0,0,4,1,0,1,1,0,The Footprint,71,221,246,580,1,BMW 5 Series xDrive,Tech_Purist
2023,Maruti Suzuki,The Purist,1,0,1,0,3,0,0,1,0,1,The Footprint,33,69,164,184,0,Maruti Brezza ZXI,Practical_Upgrader
2020,Hyundai,The Functionalist,1,0,0,0,3,1,1,1,0,1,The Rigidity,37,64,86,147,1,Hyundai i20 Sportz,Practical_Upgrader
2021,Tesla,The Purist,1,1,0,1,2,1,0,1,1,1,The Rigidity,53,132,157,415,1,Tesla Model 3 Long Range,Tech_Purist
2025,Other,The Purist,1,1,1,0,2,0,0,0,0,1,The Rigidity,64,121,261,286,0,Genesis GV80,Tech_Purist
2019,Porsche,The Enthusiast/Builder,1,0,0,0,4,1,0,0,1,0,The Footprint,160,180,286,333,1,Porsche Taycan Turbo,Elite_Enthusiast
2019,BMW,The Enthusiast/Builder,1,1,1,1,5,1,0,0,1,0,The Dash Fit,90,248,407,576,1,BMW M4 CSL,Elite_Enthusiast
2017,Toyota,The Purist,0,1,1,1,3,1,0,0,0,0,The Footprint,39,54,69,139,0,Toyota Fortuner,Practical_Upgrader
2023,Audi,The Purist,0,0,0,1,4,1,0,1,0,1,The Interaction,62,183,268,580,1,Audi Q8 e-tron,Tech_Purist
2024,Ford,The Purist,1,1,1,0,4,1,0,1,1,1,The Dash Fit,128,148,178,675,1,Ford Raptor R,Elite_Enthusiast
2024,Porsche,The Purist,1,0,0,0,3,1,1,0,0,0,The Rigidity,135,155,450,500,1,Porsche Macan GTS,Elite_Enthusiast
2023,Porsche,The Enthusiast/Builder,1,1,0,0,2,1,0,0,1,0,The Interaction,69,217,366,443,1,Porsche 911 Carrera S,Tech_Purist
2022,Porsche,The Enthusiast/Builder,1,0,0,0,4,1,0,0,1,0,The Footprint,103,197,265,438,1,Porsche Macan GTS,Elite_Enthusiast
2026,Ford,The Enthusiast/Builder,1,1,0,1,3,1,0,0,0,1,The Rigidity,68,148,267,368,1,Ford Mustang GT500,Elite_Enthusiast
2021,Mercedes-Benz,The Functionalist,0,0,1,1,3,0,0,1,0,0,The Dash Fit,57,98,238,263,0,Mercedes AMG C63,Family_WorkMom
2023,Porsche,The Purist,1,1,0,0,4,0,0,0,0,1,The Dash Fit,64,139,222,346,1,Porsche Cayman 718 GT4,Tech_Purist
2022,Tesla,The Purist,1,1,0,0,1,1,0,0,1,1,The Footprint,41,149,297,423,0,Tesla Model S Plaid,Tech_Purist
2024,Ford,The Purist,1,1,0,0,4,1,0,0,0,1,The Footprint,122,174,345,467,1,Ford Bronco Wildtrak,Elite_Enthusiast
2024,Audi,The Purist,1,1,1,0,3,1,1,1,1,1,The Footprint,81,101,187,580,1,Audi RS6 Avant,Tech_Purist
2021,BMW,The Enthusiast/Builder,0,1,1,1,4,1,1,0,1,0,The Rigidity,60,157,424,454,1,BMW M4 CSL,Elite_Enthusiast
2019,Mercedes-Benz,The Functionalist,0,1,1,1,4,1,1,1,0,1,The Dash Fit,47,115,177,302,1,Mercedes AMG C63,Family_WorkMom
2024,Tesla,The Purist,0,1,0,0,3,0,0,0,1,0,The Footprint,54,187,375,400,0,Tesla Model Y Performance,Tech_Purist
2024,Porsche,The Enthusiast/Builder,1,1,0,1,3,1,0,0,0,0,The Footprint,43,114,231,424,1,Porsche Macan GTS,Tech_Purist
2016,Toyota,The Purist,1,0,0,0,4,1,1,1,0,1,The Rigidity,24,47,115,196,1,Toyota Innova Crysta,Practical_Upgrader
2026,Audi,The Purist,0,1,1,1,5,1,0,0,0,1,The Interaction,55,90,380,461,1,Audi Q8 e-tron,Tech_Purist
2022,BMW,The Purist,0,1,1,1,2,1,0,0,0,0,The Dash Fit,61,174,235,473,0,BMW X5 M,Tech_Purist
2023,Porsche,The Enthusiast/Builder,0,1,0,0,2,1,1,0,1,1,The Rigidity,94,168,288,318,0,Porsche Cayman 718 GT4,Elite_Enthusiast
2025,Tesla,The Functionalist,1,1,1,0,5,1,1,0,0,0,The Footprint,107,122,142,277,1,Tesla Model Y Performance,Family_WorkMom
2021,Tesla,The Functionalist,1,1,1,0,3,0,1,1,0,1,The Footprint,38,107,254,423,0,Tesla Model S Plaid,Family_WorkMom
2024,BMW,The Functionalist,1,1,0,1,4,0,0,0,1,0,The Rigidity,114,149,303,503,1,BMW M3 Competition,Elite_Enthusiast
2017,Honda,The Functionalist,1,0,0,0,3,1,0,0,0,1,The Rigidity,19,71,86,273,0,Honda CR-V Sport,Practical_Upgrader
2020,Jeep,The Functionalist,1,0,0,1,2,0,0,0,0,0,The Dash Fit,47,103,153,239,0,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2023,Honda,The Functionalist,1,0,1,0,4,1,1,1,0,1,The Dash Fit,60,80,95,233,0,Honda City ZX,Practical_Upgrader
2023,Tesla,The Purist,0,1,0,0,4,1,0,0,0,1,The Footprint,95,123,268,363,1,Tesla Model S Plaid,Tech_Purist
2025,Audi,The Purist,1,1,1,0,3,1,0,0,1,1,The Footprint,120,140,255,321,1,Audi R8 V10,Tech_Purist
2020,Tesla,The Functionalist,1,1,0,1,4,1,1,1,1,1,The Footprint,33,200,220,322,1,Tesla Model X,Family_WorkMom
2022,Mercedes-Benz,The Purist,0,1,1,0,4,0,1,0,0,1,The Footprint,40,119,277,302,0,Mercedes GLE 53 AMG,Tech_Purist
2018,Audi,The Functionalist,1,1,1,1,4,1,1,1,0,1,The Rigidity,67,100,300,481,1,Audi R8 V10,Family_WorkMom
2024,Audi,The Enthusiast/Builder,1,1,0,1,2,1,1,0,1,1,The Footprint,75,167,315,536,1,Audi A4 S-Line,Elite_Enthusiast
2023,BMW,The Purist,0,1,1,0,4,1,0,0,1,0,The Dash Fit,66,142,227,377,1,BMW M3 Competition,Tech_Purist
2024,Audi,The Functionalist,0,0,0,1,4,1,1,1,0,1,The Interaction,85,137,256,384,0,Audi Q8 e-tron,Family_WorkMom
2023,Porsche,The Functionalist,0,1,1,1,5,1,0,1,0,1,The Rigidity,85,180,215,652,1,Porsche 911 Carrera S,Elite_Enthusiast
2026,Tesla,The Purist,1,1,1,1,4,1,1,1,0,0,The Rigidity,40,130,344,369,1,Tesla Model Y Performance,Tech_Purist
2021,Porsche,The Enthusiast/Builder,1,1,1,0,3,1,0,0,0,1,The Rigidity,101,133,267,592,1,Porsche Macan GTS,Elite_Enthusiast
2021,Kia,The Functionalist,0,1,1,0,4,1,1,1,0,1,The Footprint,35,45,74,198,0,Kia EV6,Practical_Upgrader
2020,Toyota,The Functionalist,1,0,0,0,4,1,1,0,0,1,The Footprint,37,101,164,184,0,Toyota Innova Crysta,Practical_Upgrader
2020,Hyundai,The Functionalist,0,0,1,1,1,1,1,1,0,1,The Footprint,60,70,85,122,0,Hyundai Tucson,Practical_Upgrader
2024,Other,The Purist,0,0,0,1,3,0,1,1,1,0,The Dash Fit,30,192,320,345,0,Genesis GV80,Family_WorkMom
2024,Mercedes-Benz,The Purist,1,1,1,0,4,1,0,0,1,1,The Dash Fit,84,168,224,263,1,Mercedes GLE 53 AMG,Elite_Enthusiast
2019,Hyundai,The Functionalist,0,0,1,1,4,0,0,0,0,1,The Dash Fit,31,54,88,158,0,Hyundai Creta SX,Practical_Upgrader
2019,Tesla,The Functionalist,0,0,1,1,3,1,1,1,0,1,The Dash Fit,90,105,212,385,0,Tesla Model Y Performance,Family_WorkMom
2014,Maruti Suzuki,The Functionalist,1,1,1,0,4,1,0,1,0,1,The Footprint,39,50,102,174,1,Maruti Swift ZXI,Practical_Upgrader
2022,Hyundai,The Purist,1,0,1,1,5,1,0,1,0,1,The Rigidity,23,88,152,172,0,Hyundai Tucson,Practical_Upgrader
2019,Toyota,The Functionalist,0,0,0,0,4,1,1,0,1,1,The Interaction,35,73,88,171,0,Toyota Innova Crysta,Practical_Upgrader
2024,Tesla,The Functionalist,0,1,1,0,5,1,1,1,0,0,The Dash Fit,57,72,235,260,1,Tesla Model Y Performance,Family_WorkMom
2022,Audi,The Functionalist,0,0,1,0,5,1,1,1,0,1,The Rigidity,75,90,189,483,0,Audi A4 S-Line,Family_WorkMom
2015,Hyundai,The Functionalist,1,1,0,1,1,1,1,0,0,1,The Rigidity,38,48,73,123,0,Hyundai i20 Sportz,Practical_Upgrader
2019,Mercedes-Benz,The Functionalist,0,1,1,0,4,1,1,0,0,1,The Rigidity,62,124,149,198,1,Mercedes AMG C63,Family_WorkMom
2024,Mercedes-Benz,The Enthusiast/Builder,1,0,0,0,4,1,1,0,1,0,The Footprint,97,155,450,480,1,Mercedes GLE 53 AMG,Elite_Enthusiast
2023,BMW,The Purist,1,1,0,0,5,1,0,1,1,1,The Dash Fit,114,134,159,260,1,BMW X5 M,Tech_Purist
2016,Hyundai,The Functionalist,0,0,0,1,2,1,1,1,0,1,The Dash Fit,47,102,117,137,0,Hyundai Tucson,Practical_Upgrader
2023,BMW,The Purist,0,1,1,0,5,1,0,0,1,1,The Dash Fit,46,77,303,390,1,BMW M3 Competition,Tech_Purist
2021,Tesla,The Purist,0,1,1,1,4,1,1,1,1,1,The Footprint,66,88,380,405,1,Tesla Model X,Tech_Purist
2023,BMW,The Functionalist,1,0,0,0,5,1,0,0,0,0,The Rigidity,105,125,282,486,1,BMW M3 Competition,Elite_Enthusiast
2022,Audi,The Purist,0,1,0,0,2,1,0,0,1,0,The Footprint,73,140,283,308,0,Audi A4 S-Line,Tech_Purist
2020,Hyundai,The Functionalist,0,1,0,1,2,1,0,1,0,1,The Footprint,35,62,106,151,0,Hyundai Verna,Practical_Upgrader
2022,Mercedes-Benz,The Enthusiast/Builder,1,1,0,1,5,1,0,0,1,1,The Rigidity,61,110,153,569,1,Mercedes AMG C63,Elite_Enthusiast
2022,Land Rover,The Functionalist,0,1,0,1,1,1,0,1,1,0,The Rigidity,72,147,223,248,0,Land Rover Discovery 5,Family_WorkMom
2014,Hyundai,The Purist,0,1,1,0,4,0,0,0,0,1,The Rigidity,24,63,103,138,0,Hyundai i20 Sportz,Practical_Upgrader
2021,BMW,The Purist,0,1,0,0,1,1,0,1,0,0,The Footprint,74,134,253,301,0,BMW M4 CSL,Tech_Purist
2023,BMW,The Purist,1,1,1,0,4,1,0,0,0,1,The Dash Fit,89,118,164,289,1,BMW M4 CSL,Tech_Purist
2023,Audi,The Purist,0,1,0,0,3,1,0,0,0,0,The Footprint,60,180,241,345,0,Audi RS6 Avant,Tech_Purist
2023,Tesla,The Purist,1,0,1,1,4,1,1,0,0,0,The Rigidity,35,144,164,288,1,Tesla Model Y Performance,Family_WorkMom
2020,Jeep,The Purist,1,1,0,1,4,1,1,1,0,1,The Dash Fit,91,131,151,176,1,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2019,Toyota,The Functionalist,0,0,0,1,3,1,1,1,1,1,The Rigidity,32,42,120,150,0,Toyota Corolla Cross,Practical_Upgrader
2021,Honda,The Functionalist,0,0,1,0,2,1,1,1,0,1,The Rigidity,34,48,167,300,0,Honda Civic Type R,Practical_Upgrader
2020,Honda,The Purist,1,0,0,0,1,1,0,1,1,1,The Dash Fit,30,67,102,137,0,Honda Amaze,Practical_Upgrader
2014,Hyundai,The Functionalist,1,1,1,1,4,1,1,1,0,1,The Dash Fit,25,43,70,167,1,Hyundai Verna,Practical_Upgrader
2022,Ford,The Purist,1,1,1,1,4,0,0,1,0,0,The Dash Fit,45,60,234,294,0,Ford Raptor R,Family_WorkMom
2019,Jeep,The Purist,1,0,0,0,4,1,1,1,0,1,The Dash Fit,87,125,145,170,1,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2022,Audi,The Enthusiast/Builder,0,1,0,0,4,1,0,0,1,0,The Footprint,53,111,324,364,1,Audi R8 V10,Tech_Purist
2026,BMW,The Purist,1,1,0,0,3,1,1,0,1,0,The Rigidity,93,113,326,453,1,BMW 5 Series xDrive,Tech_Purist
2021,BMW,The Purist,0,0,1,1,3,1,0,0,1,1,The Interaction,40,199,251,410,0,BMW M3 Competition,Tech_Purist
2023,Tesla,The Enthusiast/Builder,0,1,0,1,1,1,0,0,0,0,The Rigidity,51,196,221,468,0,Tesla Model S Plaid,Tech_Purist
2019,Toyota,The Functionalist,1,1,1,1,3,1,1,1,0,0,The Footprint,42,52,180,200,0,Toyota Innova Crysta,Practical_Upgrader
2023,Land Rover,The Functionalist,1,1,1,1,5,0,1,1,1,1,The Footprint,68,83,320,345,1,Land Rover Defender 110,Family_WorkMom
2022,Jeep,The Purist,0,1,0,1,5,0,0,0,0,1,The Footprint,78,93,161,393,0,Jeep Grand Cherokee L,Family_WorkMom
2019,Porsche,The Functionalist,1,1,1,1,4,1,1,0,1,0,The Dash Fit,122,142,414,610,1,Porsche Cayman 718 GT4,Elite_Enthusiast
2023,Tesla,The Purist,1,1,0,0,4,1,0,1,0,1,The Footprint,50,216,241,302,1,Tesla Model 3 Long Range,Tech_Purist
2023,Porsche,The Enthusiast/Builder,1,1,0,1,5,1,0,0,1,1,The Dash Fit,103,126,323,479,1,Porsche 911 Carrera S,Elite_Enthusiast
2019,Ford,The Functionalist,1,0,0,1,4,1,1,0,0,0,The Dash Fit,51,147,184,324,1,Ford Mustang GT500,Family_WorkMom
2021,Land Rover,The Purist,1,1,1,1,1,0,1,1,0,1,The Rigidity,81,145,263,288,0,Land Rover Defender 110,Family_WorkMom
2018,Jeep,The Enthusiast/Builder,0,1,0,0,2,1,1,1,0,1,The Rigidity,65,80,127,291,0,Jeep Gladiator Mojave,Family_WorkMom
2021,Tesla,The Purist,1,1,0,1,4,1,0,0,0,1,The Footprint,50,170,312,337,1,Tesla Model X,Tech_Purist
2022,Audi,The Enthusiast/Builder,1,1,0,1,5,1,0,0,1,0,The Dash Fit,70,105,260,511,1,Audi Q8 e-tron,Elite_Enthusiast
2021,Porsche,The Purist,1,1,0,0,5,1,0,0,1,0,The Rigidity,83,137,441,471,1,Porsche 911 Carrera S,Elite_Enthusiast
2018,Toyota,The Functionalist,1,0,1,1,1,1,1,1,1,1,The Dash Fit,47,57,97,126,0,Toyota Innova Crysta,Practical_Upgrader
2023,Jeep,The Functionalist,1,1,1,1,3,1,1,1,0,1,The Dash Fit,93,108,201,359,1,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2025,Porsche,The Functionalist,1,1,1,0,5,0,0,0,1,0,The Dash Fit,60,124,285,341,1,Porsche 911 Carrera S,Elite_Enthusiast
2020,Tesla,The Functionalist,0,1,0,0,5,0,0,1,1,1,The Rigidity,41,97,251,276,1,Tesla Model X,Family_WorkMom
2022,Tesla,The Purist,0,1,0,0,4,1,1,1,0,0,The Interaction,92,112,168,580,1,Tesla Model S Plaid,Tech_Purist
2020,Porsche,The Enthusiast/Builder,0,1,0,0,5,0,0,0,1,1,The Rigidity,73,110,177,615,1,Porsche Taycan Turbo,Elite_Enthusiast
2024,Tesla,The Purist,0,1,1,0,1,0,0,0,0,1,The Rigidity,60,124,233,494,0,Tesla Model 3 Long Range,Tech_Purist
2024,BMW,The Purist,1,1,0,1,5,1,1,0,1,0,The Dash Fit,85,280,311,613,1,BMW X5 M,Elite_Enthusiast
2019,Mercedes-Benz,The Enthusiast/Builder,1,1,1,0,5,1,1,0,0,0,The Rigidity,114,162,250,492,1,Mercedes AMG C63,Elite_Enthusiast
2025,Jeep,The Enthusiast/Builder,1,1,0,1,3,1,0,1,0,1,The Footprint,65,89,212,460,1,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2018,Jeep,The Functionalist,1,1,1,1,4,0,1,1,0,1,The Dash Fit,112,148,320,345,0,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2024,Tesla,The Purist,1,0,1,1,3,1,1,0,1,0,The Footprint,82,200,225,315,1,Tesla Model Y Performance,Tech_Purist
2024,Mercedes-Benz,The Purist,1,1,0,0,1,1,0,0,1,0,The Rigidity,112,132,163,577,1,Mercedes EQS 580,Tech_Purist
2021,Honda,The Functionalist,1,0,0,0,2,1,0,1,0,1,The Rigidity,47,68,98,130,0,Honda CR-V Sport,Practical_Upgrader
2023,Tesla,The Functionalist,0,1,1,0,3,1,1,0,0,1,The Dash Fit,60,191,217,500,0,Tesla Model S Plaid,Family_WorkMom
2024,Jeep,The Functionalist,1,1,1,1,3,0,1,1,1,0,The Dash Fit,39,109,175,204,1,Jeep Grand Cherokee L,Family_WorkMom
2023,Tesla,The Purist,1,0,0,1,3,1,1,0,0,0,The Footprint,63,152,286,580,1,Tesla Model Y Performance,Tech_Purist
2024,Land Rover,The Functionalist,1,0,0,1,4,1,1,1,0,1,The Dash Fit,64,164,205,500,1,Land Rover Defender 110,Family_WorkMom
2019,Jeep,The Purist,0,0,1,0,4,1,0,1,0,1,The Dash Fit,120,135,155,246,1,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2025,Mercedes-Benz,The Enthusiast/Builder,0,1,0,1,4,1,0,0,1,0,The Rigidity,97,188,368,511,1,Mercedes AMG C63,Elite_Enthusiast
2023,BMW,The Purist,1,0,1,0,1,1,1,0,1,0,The Dash Fit,90,135,337,700,0,BMW M3 Competition,Elite_Enthusiast
2021,Kia,The Functionalist,0,1,0,1,4,1,1,0,0,1,The Rigidity,44,70,135,155,0,Kia Carens,Practical_Upgrader
2018,Other,The Functionalist,0,0,0,1,3,1,0,0,0,1,The Footprint,28,48,95,130,0,Lucid Air Grand Touring,Practical_Upgrader
2024,Tesla,The Purist,0,1,1,1,3,1,0,0,0,1,The Interaction,95,116,192,580,1,Tesla Model S Plaid,Tech_Purist
2022,Land Rover,The Functionalist,1,1,0,1,5,0,1,1,0,1,The Dash Fit,46,116,234,259,1,Land Rover Defender 110,Family_WorkMom
2024,BMW,The Enthusiast/Builder,1,0,0,0,5,1,0,0,1,0,The Rigidity,130,198,450,480,1,BMW M4 CSL,Elite_Enthusiast
2020,BMW,The Purist,1,0,0,0,5,1,0,0,1,1,The Footprint,92,165,323,353,1,BMW X5 M,Elite_Enthusiast
2018,Land Rover,The Purist,0,0,1,0,4,0,0,0,1,1,The Dash Fit,56,71,227,252,0,Range Rover Sport HSE,Family_WorkMom
2020,Audi,The Functionalist,1,1,0,1,2,1,1,1,0,0,The Dash Fit,30,146,166,211,0,Audi A4 S-Line,Family_WorkMom
2022,Audi,The Purist,1,1,0,0,4,0,0,0,1,1,The Footprint,97,148,317,347,1,Audi RS6 Avant,Tech_Purist
2025,BMW,The Enthusiast/Builder,1,1,0,0,3,1,1,0,0,1,The Rigidity,148,168,380,405,1,BMW M4 CSL,Tech_Purist
2020,Land Rover,The Functionalist,0,0,1,1,4,1,1,1,0,1,The Footprint,30,130,223,248,0,Land Rover Discovery 5,Family_WorkMom
2023,Maruti Suzuki,The Purist,0,0,0,1,1,1,1,0,0,1,The Interaction,25,59,110,130,0,Maruti Swift ZXI,Practical_Upgrader
2023,Mercedes-Benz,The Enthusiast/Builder,1,1,0,0,5,0,0,0,1,1,The Interaction,91,115,164,484,1,Mercedes EQS 580,Tech_Purist
2022,Porsche,The Enthusiast/Builder,0,1,0,0,2,1,0,0,0,1,The Footprint,66,193,279,364,0,Porsche Taycan Turbo,Tech_Purist
2025,Tesla,The Purist,1,1,0,1,5,1,0,0,0,1,The Footprint,63,155,216,282,1,Tesla Model 3 Long Range,Tech_Purist
2023,BMW,The Functionalist,0,1,1,1,5,1,1,0,1,1,The Dash Fit,67,104,202,437,1,BMW 5 Series xDrive,Family_WorkMom
2023,Porsche,The Enthusiast/Builder,0,1,0,1,4,0,1,0,1,1,The Rigidity,86,164,249,507,1,Porsche Cayman 718 GT4,Elite_Enthusiast
2022,Land Rover,The Purist,0,1,1,1,4,0,1,0,0,1,The Dash Fit,61,150,170,254,0,Land Rover Defender 110,Family_WorkMom
2024,Tesla,The Enthusiast/Builder,0,1,0,1,4,1,0,0,0,1,The Footprint,84,144,186,540,1,Tesla Model S Plaid,Tech_Purist
2021,Audi,The Enthusiast/Builder,1,1,0,1,5,1,0,1,0,0,The Rigidity,60,207,237,700,1,Audi RS6 Avant,Elite_Enthusiast
2026,Audi,The Enthusiast/Builder,1,1,0,1,4,1,0,0,0,1,The Rigidity,60,231,291,399,1,Audi Q8 e-tron,Elite_Enthusiast
2026,Porsche,The Functionalist,1,0,0,0,5,1,0,0,1,0,The Rigidity,95,198,228,349,1,Porsche Macan GTS,Elite_Enthusiast
2024,BMW,The Purist,1,0,1,0,4,1,1,0,1,1,The Interaction,109,129,250,700,1,BMW X5 M,Elite_Enthusiast
2016,Honda,The Enthusiast/Builder,1,0,0,1,5,1,1,1,0,0,The Rigidity,24,85,100,172,1,Honda City ZX,Practical_Upgrader
2024,Tesla,The Enthusiast/Builder,1,1,0,0,4,0,0,1,0,1,The Dash Fit,81,188,230,580,1,Tesla Model Y Performance,Tech_Purist
2018,Tesla,The Functionalist,0,0,1,1,4,1,1,0,0,1,The Dash Fit,44,119,218,243,0,Tesla Model Y Performance,Family_WorkMom
2019,BMW,The Enthusiast/Builder,1,1,0,1,5,1,1,0,1,0,The Rigidity,82,172,262,700,1,BMW X5 M,Elite_Enthusiast
2020,Mercedes-Benz,The Purist,0,0,1,0,5,0,1,1,0,0,The Dash Fit,40,166,270,297,0,Mercedes AMG C63,Family_WorkMom
2022,Tesla,The Functionalist,0,0,0,1,4,1,1,1,0,1,The Dash Fit,40,84,167,192,0,Tesla Model X,Family_WorkMom
2025,Porsche,The Enthusiast/Builder,0,1,1,1,3,0,0,0,1,0,The Rigidity,66,105,447,536,1,Porsche 911 Carrera S,Elite_Enthusiast
2023,Land Rover,The Functionalist,1,1,0,1,4,0,0,0,0,0,The Interaction,71,135,212,498,1,Range Rover Sport HSE,Family_WorkMom
2023,Ford,The Functionalist,1,0,1,1,5,1,0,1,0,1,The Interaction,44,114,260,285,1,Ford Mustang GT500,Family_WorkMom
2023,Audi,The Enthusiast/Builder,0,1,0,0,4,0,0,1,1,1,The Footprint,150,170,255,532,1,Audi Q8 e-tron,Tech_Purist
2023,Audi,The Purist,1,1,0,0,5,1,0,1,1,1,The Footprint,87,135,254,279,1,Audi R8 V10,Tech_Purist
2022,BMW,The Enthusiast/Builder,1,1,1,0,2,0,1,0,1,0,The Rigidity,76,191,341,643,1,BMW M3 Competition,Elite_Enthusiast
2026,Jeep,The Functionalist,1,1,0,1,4,0,1,1,0,1,The Dash Fit,52,67,289,494,0,Jeep Grand Cherokee L,Family_WorkMom
2020,Tesla,The Purist,1,0,1,1,4,1,0,1,0,1,The Footprint,87,127,334,580,1,Tesla Model 3 Long Range,Tech_Purist
2024,BMW,The Functionalist,1,0,1,1,5,1,1,1,0,0,The Dash Fit,56,71,163,372,1,BMW M3 Competition,Family_WorkMom
2018,Volkswagen,The Functionalist,1,1,1,1,1,1,0,1,0,1,The Rigidity,20,63,111,235,0,VW Virtus GT,Practical_Upgrader
2023,BMW,The Functionalist,0,1,0,0,5,1,0,0,0,0,The Footprint,98,174,199,481,1,BMW M3 Competition,Tech_Purist
2024,Mercedes-Benz,The Enthusiast/Builder,0,1,0,1,4,1,1,0,1,0,The Rigidity,111,177,207,353,1,Mercedes GLE 53 AMG,Elite_Enthusiast
2023,Audi,The Enthusiast/Builder,1,1,1,0,3,1,0,0,1,0,The Rigidity,63,89,298,350,1,Audi RS6 Avant,Elite_Enthusiast
2025,Tesla,The Purist,1,1,0,1,3,1,0,0,0,0,The Footprint,146,166,360,385,1,Tesla Model X,Tech_Purist
2025,Ford,The Purist,1,1,0,1,4,0,1,0,1,0,The Interaction,76,168,227,392,1,Ford Bronco Wildtrak,Elite_Enthusiast
2023,Tesla,The Purist,1,0,0,1,4,1,0,1,1,0,The Footprint,62,125,380,408,1,Tesla Model 3 Long Range,Tech_Purist
2016,Hyundai,The Purist,1,1,1,1,1,0,1,0,0,0,The Footprint,38,70,119,144,0,Hyundai i20 Sportz,Practical_Upgrader
2024,Tesla,The Purist,0,1,1,1,2,0,0,0,0,1,The Interaction,60,141,346,511,0,Tesla Model Y Performance,Tech_Purist
2025,Tesla,The Purist,0,0,1,1,5,1,0,0,0,1,The Interaction,50,143,187,302,1,Tesla Model X,Family_WorkMom
2022,BMW,The Purist,1,1,0,0,2,1,1,0,0,1,The Interaction,57,127,365,390,0,BMW M3 Competition,Tech_Purist
2023,Land Rover,The Purist,1,1,1,1,3,1,0,1,0,1,The Footprint,57,72,179,274,1,Land Rover Discovery 5,Family_WorkMom
2023,Jeep,The Functionalist,0,0,1,0,4,1,0,1,0,1,The Rigidity,40,110,172,307,1,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2020,Hyundai,The Enthusiast/Builder,1,0,0,1,3,1,1,1,0,1,The Dash Fit,34,45,88,151,0,Hyundai Creta SX,Practical_Upgrader
2019,Tesla,The Purist,1,0,0,1,4,1,1,1,0,1,The Footprint,82,120,158,343,0,Tesla Model Y Performance,Family_WorkMom
2020,Toyota,The Functionalist,1,0,0,1,3,1,0,1,0,1,The Interaction,55,79,117,184,0,Toyota Innova Crysta,Practical_Upgrader
